text,label,pmid,pmcid,fetching_date,cui,normalized_name,normalization_source,url
mitochondrial,CELLULAR_COMPONENT,40785690,40785690,2025-08-18 15:46:55.403,C0887941,Mitochondrial Inheritance,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0887941
esomeprazole,SIMPLE_CHEMICAL,40785690,40785690,2025-08-18 15:46:55.403,C0937846,esomeprazole,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0937846
mitochondrial membrane,CELLULAR_COMPONENT,40785690,40785690,2025-08-18 15:46:55.403,C0596952,Mitochondrial Membranes,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0596952
ppis,CANCER,40785690,40785690,2025-08-18 15:46:55.403,C0613962,phosphatidylinositol-inositol exchange enzyme,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0613962
cancer cell,CELL,40785690,40785690,2025-08-18 15:46:55.403,C0334227,"Tumor cells, malignant",SNOMEDCT_US,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0334227
snu-1 gastric carcinoma cells,CANCER,40785690,40785690,2025-08-18 15:46:55.403,,,,
annexin v,GENE_OR_GENE_PRODUCT,40785690,40785690,2025-08-18 15:46:55.403,C0215273,annexin V receptor,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0215273
parp,GENE_OR_GENE_PRODUCT,40785690,40785690,2025-08-18 15:46:55.403,C0032405,Poly(ADP-ribose) Polymerases,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0032405
8-oxo-dg,SIMPLE_CHEMICAL,40785690,40785690,2025-08-18 15:46:55.403,C0050078,8-Hydroxy-2'-Deoxyguanosine,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0050078
atm,GENE_OR_GENE_PRODUCT,40785690,40785690,2025-08-18 15:46:55.403,C0919524,ATM gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0919524
snu-1 cell,CELL,40785690,40785690,2025-08-18 15:46:55.403,,,,
tos,CANCER,40785690,40785690,2025-08-18 15:46:55.403,C4287700,TOS-80T,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4287700
h2ax,GENE_OR_GENE_PRODUCT,40785690,40785690,2025-08-18 15:46:55.403,C1415406,H2AX gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1415406
ci,SIMPLE_CHEMICAL,40785690,40785690,2025-08-18 15:46:55.403,,,,
snu-1 gastric cancer cells,CANCER,40785690,40785690,2025-08-18 15:46:55.403,,,,
gastric cancer,CANCER,40785690,40785690,2025-08-18 15:46:55.403,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
gastric carcinoma cells,CANCER,40785690,40785690,2025-08-18 15:46:55.403,C2010505,carcinoma of stomach with osteoclast-like giant cells,MEDCIN,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2010505
humans cachexia male female stomach neoplasms,ORGANISM,40783730,40783730,2025-08-18 15:46:55.531,,,,
neutrophils,CELL,40783730,40783730,2025-08-18 15:46:55.531,C0027950,neutrophil,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027950
muscle,ORGAN,40783730,40783730,2025-08-18 15:46:55.531,C4083049,Muscle (organ),MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4083049
skeletal adult,PATHOLOGICAL_FORMATION,40783730,40783730,2025-08-18 15:46:55.531,C0411962,Skeletal survey - adult,RCD,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0411962
cancer cachexia gastric cancer,CANCER,40783730,40783730,2025-08-18 15:46:55.531,,,,
cachexia,CANCER,40783730,40783730,2025-08-18 15:46:55.531,C0006625,Cachexia,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006625
patients,ORGANISM,40783730,40783730,2025-08-18 15:46:55.531,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
gastric cancer,CANCER,40783730,40783730,2025-08-18 15:46:55.531,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
cachexia,ORGAN,40783730,40783730,2025-08-18 15:46:55.531,C0006625,Cachexia,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006625
cxi,GENE_OR_GENE_PRODUCT,40783730,40783730,2025-08-18 15:46:55.531,C3710845,N-(2-(piperidin-1-yl)phenyl)-2-(thiophen-2-yl)-1H-benzo(d)imidazole-4-carboxamide,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C3710845
cancer cachexia,CANCER,40783730,40783730,2025-08-18 15:46:55.531,C1391732,Malignant cachexia,SNOMEDCT_US,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1391732
humans stomach neoplasms,ORGANISM,40779780,40779780,2025-08-18 15:46:55.618,,,,
aged,GENE_OR_GENE_PRODUCT,40779780,40779780,2025-08-18 15:46:55.618,C1999167,Old age,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1999167
gastric cancer,CANCER,40779780,40779780,2025-08-18 15:46:55.618,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
humans stomach neoplasms semaphorins cell,ORGANISM,40777970,40777970,2025-08-18 15:46:55.706,,,,
cell,CELL,40777970,40777970,2025-08-18 15:46:55.706,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
cell line,CELL,40777970,40777970,2025-08-18 15:46:55.706,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
tumor tor serine-threonine,CELL,40777970,40777970,2025-08-18 15:46:55.706,,,,
neoplastic erk,CANCER,40777970,40777970,2025-08-18 15:46:55.706,,,,
pi3k/akt/mtor,GENE_OR_GENE_PRODUCT,40777970,40777970,2025-08-18 15:46:55.706,,,,
gastric cancer cell,CANCER,40777970,40777970,2025-08-18 15:46:55.706,C4076910,GMBP1 peptide,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4076910
extracellular signal-regulated kinase,IMMATERIAL_ANATOMICAL_ENTITY,40777970,40777970,2025-08-18 15:46:55.706,C0246486,extracellular signal-regulated kinase 3,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0246486
semaphorin 6d,GENE_OR_GENE_PRODUCT,40777970,40777970,2025-08-18 15:46:55.706,C2351127,"semaphorin 6D, zebrafish",MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2351127
sema6d,GENE_OR_GENE_PRODUCT,40777970,40777970,2025-08-18 15:46:55.706,C1539745,SEMA6D gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1539745
extracellular signal-regulated kinase,GENE_OR_GENE_PRODUCT,40777970,40777970,2025-08-18 15:46:55.706,C0246486,extracellular signal-regulated kinase 3,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0246486
erk,GENE_OR_GENE_PRODUCT,40777970,40777970,2025-08-18 15:46:55.706,C0752312,Mitogen-Activated Protein Kinases,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0752312
phosphatidylinositol 3-kinase/protein kinase,SIMPLE_CHEMICAL,40777970,40777970,2025-08-18 15:46:55.706,C5907299,phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C5907299
b/mammalian,GENE_OR_GENE_PRODUCT,40777970,40777970,2025-08-18 15:46:55.706,C2754134,mammalian spliceosomal complex B,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2754134
gastric cancer,CANCER,40777970,40777970,2025-08-18 15:46:55.706,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
humans stomach neoplasms female,ORGANISM,40777025,40777025,2025-08-18 15:46:55.794,,,,
aged,GENE_OR_GENE_PRODUCT,40777025,40777025,2025-08-18 15:46:55.794,C1999167,Old age,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1999167
tumor aged lymphocytes,CELL,40777025,40777025,2025-08-18 15:46:55.794,,,,
tumor-infiltrating tumor,CANCER,40777025,40777025,2025-08-18 15:46:55.794,C0079722,"Lymphocytes, Tumor-Infiltrating",MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0079722
lauren types gastric cancer,CANCER,40777025,40777025,2025-08-18 15:46:55.794,,,,
gastric cancer patients,CANCER,40777025,40777025,2025-08-18 15:46:55.794,C3533302,Functional assessment of cancer therapy for patients with gastric cancer questionnaire - version 4,LNC,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C3533302
tumor,CANCER,40777025,40777025,2025-08-18 15:46:55.794,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
gastric cancer,CANCER,40777025,40777025,2025-08-18 15:46:55.794,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
stomach neoplasms disease,CANCER,40775711,40775711,2025-08-18 15:46:55.880,,,,
neoplastic signal,CANCER,40775711,40775711,2025-08-18 15:46:55.880,,,,
tumor,CANCER,40775711,40775711,2025-08-18 15:46:55.880,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
humans animals tumor microenvironment g protein-coupled receptors gastric cancer signaling,ORGANISM,40775711,40775711,2025-08-18 15:46:55.880,,,,
tumor microenvironment g protein-coupled receptors,CANCER,40775711,40775711,2025-08-18 15:46:55.880,,,,
gpcrs,GENE_OR_GENE_PRODUCT,40775711,40775711,2025-08-18 15:46:55.880,C1517369,GPCR Signaling Pathway,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1517369
membrane,CELLULAR_COMPONENT,40775711,40775711,2025-08-18 15:46:55.880,C0025255,Membrane Tissue,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0025255
humans,ORGANISM,40775711,40775711,2025-08-18 15:46:55.880,C0086418,Homo sapiens,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0086418
gastric cancer,CANCER,40775711,40775711,2025-08-18 15:46:55.880,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
cancers,CANCER,40775711,40775711,2025-08-18 15:46:55.880,C0006826,Malignant Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006826
gc,CANCER,40775711,40775711,2025-08-18 15:46:55.880,,,,
cellular processes-including,CELL,40775711,40775711,2025-08-18 15:46:55.880,,,,
humans stomach neoplasms,ORGANISM,40775648,40775648,2025-08-18 15:46:55.980,,,,
neoplastic platinum kruppel-like,GENE_OR_GENE_PRODUCT,40775648,40775648,2025-08-18 15:46:55.980,,,,
cell line,CELL,40775648,40775648,2025-08-18 15:46:55.980,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
tumor,CANCER,40775648,40775648,2025-08-18 15:46:55.980,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
klf9,GENE_OR_GENE_PRODUCT,40775648,40775648,2025-08-18 15:46:55.980,C1537487,KLF9 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1537487
gastric cancer,CANCER,40775648,40775648,2025-08-18 15:46:55.980,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
intertumoral,PATHOLOGICAL_FORMATION,40775648,40775648,2025-08-18 15:46:55.980,,,,
platinum,SIMPLE_CHEMICAL,40775648,40775648,2025-08-18 15:46:55.980,C0032207,platinum,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0032207
humans stomach neoplasms,ORGANISM,40775431,40775431,2025-08-18 15:46:56.069,,,,
neoplastic prognosis,PATHOLOGICAL_FORMATION,40775431,40775431,2025-08-18 15:46:56.069,,,,
tumor,CANCER,40775431,40775431,2025-08-18 15:46:56.069,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
tumor cell,CELL,40775431,40775431,2025-08-18 15:46:56.069,C5551176,Tumor cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C5551176
dna,CELLULAR_COMPONENT,40775431,40775431,2025-08-18 15:46:56.069,C0012854,DNA,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0012854
cell line,CELL,40775431,40775431,2025-08-18 15:46:56.069,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
gastric cancer itgav,CANCER,40775431,40775431,2025-08-18 15:46:56.069,,,,
integrin subunit alpha v,GENE_OR_GENE_PRODUCT,40775431,40775431,2025-08-18 15:46:56.069,C1416494,ITGAV gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1416494
itgav,GENE_OR_GENE_PRODUCT,40775431,40775431,2025-08-18 15:46:56.069,C1416494,ITGAV gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1416494
integrin receptor,GENE_OR_GENE_PRODUCT,40775431,40775431,2025-08-18 15:46:56.069,C0021701,Integrins,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0021701
cancers,CANCER,40775431,40775431,2025-08-18 15:46:56.069,C0006826,Malignant Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006826
tumor immune microenvironment,CANCER,40775431,40775431,2025-08-18 15:46:56.069,,,,
gastric cancer,CANCER,40775431,40775431,2025-08-18 15:46:56.069,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
tissue,TISSUE,40775431,40775431,2025-08-18 15:46:56.069,C0040300,Body tissue,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0040300
cell,CELL,40775431,40775431,2025-08-18 15:46:56.069,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
immune cell,CELL,40775431,40775431,2025-08-18 15:46:56.069,C4330475,Immune Cell,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4330475
emc,CANCER,40775431,40775431,2025-08-18 15:46:56.069,C1275278,Extraskeletal Myxoid Chondrosarcoma,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1275278
humans stomach neoplasms neutrophils disease,ORGANISM,40775351,40775351,2025-08-18 15:46:56.169,,,,
calcium,SIMPLE_CHEMICAL,40775351,40775351,2025-08-18 15:46:56.169,C0006675,calcium,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0006675
cell line,CELL,40775351,40775351,2025-08-18 15:46:56.169,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
tumor animals gene,CANCER,40775351,40775351,2025-08-18 15:46:56.169,,,,
tumor,CANCER,40775351,40775351,2025-08-18 15:46:56.169,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
cell,CELL,40775351,40775351,2025-08-18 15:46:56.169,C0007634,Cells,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007634
mice,ORGANISM,40775351,40775351,2025-08-18 15:46:56.169,C0025914,House mice,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0025914
nude pvt1,ORGANISM,40775351,40775351,2025-08-18 15:46:56.169,,,,
gastric cancer,CANCER,40775351,40775351,2025-08-18 15:46:56.169,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
neutrophils,CELL,40775351,40775351,2025-08-18 15:46:56.169,C0027950,neutrophil,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027950
pvt1,GENE_OR_GENE_PRODUCT,40775351,40775351,2025-08-18 15:46:56.169,C0812285,PVT1 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0812285
tans,CANCER,40775351,40775351,2025-08-18 15:46:56.169,C0302595,Skin tanning,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0302595
neutrophil,CELL,40775351,40775351,2025-08-18 15:46:56.169,C0027950,neutrophil,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027950
humans claudins stomach neoplasms adenocarcinoma female male esophageal neoplasms middle aged,ORGANISM,40775258,40775258,2025-08-18 15:46:56.262,,,,
tumor lymphatic,MULTI_TISSUE_STRUCTURE,40775258,40775258,2025-08-18 15:46:56.262,C0545068,"Tumor thrombus, lymphatic",SNM,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0545068
claudin,GENE_OR_GENE_PRODUCT,40775258,40775258,2025-08-18 15:46:56.262,C2718006,Claudins,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2718006
esophageal cancer gastric cancer,CANCER,40775258,40775258,2025-08-18 15:46:56.262,C4763619,First Degree Family History of Esophageal or Gastric Esophageal Cancer,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4763619
cldn18.2,GENE_OR_GENE_PRODUCT,40775258,40775258,2025-08-18 15:46:56.262,C4725710,Claudin-18 Isoform A2,NCI,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4725710
esophageal (,PATHOLOGICAL_FORMATION,40775258,40775258,2025-08-18 15:46:56.262,C0014852,Esophageal Diseases,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0014852
eac,CANCER,40775258,40775258,2025-08-18 15:46:56.262,C1120724,EAC regimen,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1120724
gastric adenocarcinoma,CANCER,40775258,40775258,2025-08-18 15:46:56.262,C0278701,Gastric Adenocarcinoma,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0278701
gac,SIMPLE_CHEMICAL,40775258,40775258,2025-08-18 15:46:56.262,C1415112,GLS gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1415112
tumor,CANCER,40775258,40775258,2025-08-18 15:46:56.262,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
metastases,CANCER,40775258,40775258,2025-08-18 15:46:56.262,C2939419,Metastatic malignant neoplasm,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C2939419
biopsies,CANCER,40775258,40775258,2025-08-18 15:46:56.262,C0005558,Biopsy,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0005558
patients,ORGANISM,40775258,40775258,2025-08-18 15:46:56.262,C0030705,Patients,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0030705
a.,ORGANISM,40775258,40775258,2025-08-18 15:46:56.262,,,,
gac,GENE_OR_GENE_PRODUCT,40775258,40775258,2025-08-18 15:46:56.262,C1415112,GLS gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1415112
lymph node,MULTI_TISSUE_STRUCTURE,40775258,40775258,2025-08-18 15:46:56.262,C0024204,lymph nodes,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024204
biopsy,PATHOLOGICAL_FORMATION,40775258,40775258,2025-08-18 15:46:56.262,C0005558,Biopsy,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0005558
tissue,TISSUE,40775258,40775258,2025-08-18 15:46:56.262,C0040300,Body tissue,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0040300
tumor tissue,TISSUE,40775258,40775258,2025-08-18 15:46:56.262,C0475358,Tumor tissue sample,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0475358
esophageal,PATHOLOGICAL_FORMATION,40775258,40775258,2025-08-18 15:46:56.262,C0014852,Esophageal Diseases,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0014852
stomach neoplasms humans animals cancer-associated fibroblasts mice cell line,CANCER,40775202,40775202,2025-08-18 15:46:56.361,,,,
tumor tumor,CANCER,40775202,40775202,2025-08-18 15:46:56.361,C0007095,Carcinoid Tumor,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007095
xenograft,CANCER,40775202,40775202,2025-08-18 15:46:56.361,C0522537,Xenograft type of graft,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0522537
t-lymphocytes transforming growth factor beta,GENE_OR_GENE_PRODUCT,40775202,40775202,2025-08-18 15:46:56.361,,,,
gastric cancer,CANCER,40775202,40775202,2025-08-18 15:46:56.361,C0024623,Malignant neoplasm of stomach,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0024623
stromal,CELL,40775202,40775202,2025-08-18 15:46:56.361,C0206630,Endometrial Stromal Sarcoma,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0206630
ul16,GENE_OR_GENE_PRODUCT,40775202,40775202,2025-08-18 15:46:56.361,C1335635,RPL10 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1335635
ulbp2,GENE_OR_GENE_PRODUCT,40775202,40775202,2025-08-18 15:46:56.361,C1423033,ULBP2 gene,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C1423033
fibroblasts,CELL,40775202,40775202,2025-08-18 15:46:56.361,C0016030,Fibroblasts,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0016030
cafs,CANCER,40775202,40775202,2025-08-18 15:46:56.361,C4277548,Cancer-Associated Fibroblasts,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4277548
tumor,CANCER,40775202,40775202,2025-08-18 15:46:56.361,C0027651,Neoplasms,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0027651
ulbp2 car-t,GENE_OR_GENE_PRODUCT,40775202,40775202,2025-08-18 15:46:56.361,,,,
cell lines,CELL,40775202,40775202,2025-08-18 15:46:56.361,C0007600,Cultured Cell Line,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0007600
organoids,CELL,40775202,40775202,2025-08-18 15:46:56.361,C0029250,Organoids,MSH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0029250
cell line-derived xenograft,CELL,40775202,40775202,2025-08-18 15:46:56.361,C4722223,Cell Line-Derived Xenograft,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C4722223
cdx,SIMPLE_CHEMICAL,40775202,40775202,2025-08-18 15:46:56.361,C0285590,bicalutamide,MTH,https://uts-ws.nlm.nih.gov/rest/content/2025AA/CUI/C0285590
